company,date,title,link,description
대우건설,2026-04-10,"성수4지구, 롯데건설 '르엘' 앞세워 재도전... 대우건설 아직도 검토 중",https://www.insight.co.kr/news/549765,"규모와 상징성 모두 큰 사업장인 만큼, 건설사들로서도 쉽게 물러서기 어렵다.성수4지구 재입찰은 다시 2파전 구도를 갖췄지만, 대우건설의 최종 판단은 아직 남아 있다. 이번 수주전은 브랜드 경쟁만큼이나, 끝까지... "
대우건설,2026-04-10,"대우건설, 대장홍대선 계약 해지…""사업 포트폴리오 조정""",http://www.4th.kr/news/articleView.html?idxno=2110300,현대건설 컨소시엄이 2020년 처음 제안했고 2024년 국토교통부와 실시협약을 맺은 데 이어 지난해 12월 착공 기념식까지 열면서 2031년 개통을 목표로 사업을 추진 중이다. 업계에서는 이미 수개월 전부터 대우건설의 지분... 
대우건설,2026-04-10,"HJ중공업, 대웅제약, 엘앤에프, 대우건설, 썸에이지 외",https://www.kdpress.co.kr/news/articleView.html?idxno=204187,"계약금액은 최근 매출액의 11.38% 수준이며, 계약기간은 2026년 4월 9일부터 10월 23일까지다. 회사는 공시에서 해당 계약이 Lumentum향 펌프 레이저 패키지 공급이라고 밝혔다. ■ 대우건설(KOSPI, 047040)은 단일판매... "
대우건설,2026-04-09,"대우건설, 도미니크 페로와 ‘도시·주거 협업’ 타진…디자인 경쟁력 ...",https://www.fetv.co.kr/news/article.html?no=216639,"대우건설은 재건축·재개발 등 도시정비사업에서 강점을 가진 시공 역량과 글로벌 건축가의 설계 역량을 결합해 주거상품 경쟁력을 높이는 방안을 검토하고 있다. 해외에서는 베트남, 인도네시아 등 도시개발 사업에... "
대우건설,2026-04-07,"대우건설, 올해 정비사업 수주액 2조원 돌파",https://www.m-economynews.com/news/article.html?no=66181,용인 기흥1구역·마포 성산 모아타운 3구역 시공사 선정 올해 정비사업 부문 5개 사업지서 2조2525억원 수주 대우건설이 지난 주말 열린 두 곳의 시공사 선정총회에서 조합원들의 압도적인 지지 속에 시공사로 선정되며... 
대우건설,2026-04-07,"대우건설, 해외 네크워크 강점 살려 원전사업 승부수",https://news.mtn.co.kr/news-detail/2026040711113929064,"이상호 교보증권 연구원은 ""페르미 아메리카 미국 대형원전에 대한 가시성이 점차 확보되는 시기""라며 ""향후 팀코리아발 원전에 대한 수주 가능성이 높다""고 했다. 한승 대우건설 전무가 이끄는 해외사업단이... "
대우건설,2026-04-07,"[더벨][건설부동산 줌人] 한승 대우건설 전무, '해외·원전' 사업 총괄한...",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202604031133290400109484,대우건설이 아직 한국수력원자력과 시공 계약을 체결하진 않았지만 체코 두코바니 신규 원전을 수주한 팀코리아의 시공주관사다. 두산에너빌리티와 공동 도급 계약을 체결할 예정인 가운데 대우건설은 원자로와 터빈 등... 
GS건설,2026-04-15,"GS건설, 폴란드 디벨로퍼와 바르샤바 공동 주거단지 개발 협약",https://www.theguru.co.kr/news/article.html?no=100565,폴란드 바르샤바 인근에 단독주택 단지 건설 해외 수주 시장 다변화 박차  GS건설이 폴란드 주택 개발 사업에 공식 착수했다. 미국·이스라엘과 이란 간 전쟁으로 중동 건설 시장이 위축된 가운데 해외 수주 시장... 
GS건설,2026-04-14,GS건설 신기술로 교량 내구성 혁신…시공기간 단축과 원가 절감 기대,https://www.gokorea.kr/news/articleView.html?idxno=863549,"GS건설은 최근 모듈러 교량의 주요한 문제였던 '접합부 견고성'을 해결하기 위한 혁신적인 기술 개발을 완료하고, 성능 공개실험을 마쳤다고 14일 밝혔다. 이로써 장기간 고질적인 문제였던 교량 구조의 내구성 문제가... "
GS건설,2026-04-14,"GS건설-GPC, 모듈러 교량 접합성능 높인 PC바닥판 개발",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202604141043014300144,"GS건설이 사전제작 콘크리트(PCㆍPrecast Concrete) 기술의 적용 범위를지하주차장, 물류센터를 넘어 교량 등 인프라 분야까지 확대한다. GS건설은 PC 제조 전문 자회사 GPC와 ‘유리섬유보강근(GFRP)과 초고성능 콘크리트... "
